UTC,Open,High,Low,Close,Volume
06.03.2020 00:00:00.000 UTC,0.88594,0.88626,0.88589,0.88625,215.23
06.03.2020 00:01:00.000 UTC,0.88621,0.88642,0.8862,0.8863,176.98
06.03.2020 00:02:00.000 UTC,0.8863,0.88653,0.8862,0.88653,152.09
06.03.2020 00:03:00.000 UTC,0.88655,0.8866,0.88636,0.88637,77.43
06.03.2020 00:04:00.000 UTC,0.88638,0.88648,0.8863,0.88644,46.25
06.03.2020 00:05:00.000 UTC,0.88642,0.88658,0.88636,0.88637,99.47
06.03.2020 00:06:00.000 UTC,0.88637,0.88649,0.88636,0.8864,60.59
06.03.2020 00:07:00.000 UTC,0.88641,0.88657,0.88637,0.88657,40.88
06.03.2020 00:08:00.000 UTC,0.88656,0.88663,0.88653,0.88662,89.04
06.03.2020 00:09:00.000 UTC,0.88662,0.88662,0.88648,0.88658,47.98
06.03.2020 00:10:00.000 UTC,0.88656,0.88657,0.88637,0.88645,136.72
06.03.2020 00:11:00.000 UTC,0.88645,0.88652,0.88644,0.88652,82.42
06.03.2020 00:12:00.000 UTC,0.88648,0.88678,0.88643,0.88657,120.29
06.03.2020 00:13:00.000 UTC,0.88658,0.88669,0.88653,0.88654,122.83
06.03.2020 00:14:00.000 UTC,0.88654,0.88654,0.88647,0.88651,44.93
06.03.2020 00:15:00.000 UTC,0.8865,0.88676,0.88642,0.88675,94.65
06.03.2020 00:16:00.000 UTC,0.88675,0.88675,0.8867,0.88672,14.82
06.03.2020 00:17:00.000 UTC,0.88674,0.8868,0.88667,0.88676,84
06.03.2020 00:18:00.000 UTC,0.88676,0.88679,0.88666,0.88675,79.2
06.03.2020 00:19:00.000 UTC,0.88674,0.88693,0.88669,0.88681,92.82
06.03.2020 00:20:00.000 UTC,0.88682,0.88693,0.88677,0.88677,70.29
06.03.2020 00:21:00.000 UTC,0.88675,0.88682,0.88673,0.88677,31.53
06.03.2020 00:22:00.000 UTC,0.8868,0.88681,0.88667,0.88673,35.71
06.03.2020 00:23:00.000 UTC,0.88671,0.88672,0.88643,0.88644,68.73
06.03.2020 00:24:00.000 UTC,0.88644,0.88651,0.88628,0.88633,57.11
06.03.2020 00:25:00.000 UTC,0.88633,0.88634,0.88629,0.88634,16.87
06.03.2020 00:26:00.000 UTC,0.88631,0.88631,0.8862,0.88622,14.69
06.03.2020 00:27:00.000 UTC,0.88621,0.88625,0.88619,0.8862,30.92
