UTC,Open,High,Low,Close,Volume
06.02.2020 00:00:00.000 UTC,74.146,74.148,74.134,74.136,129.58
06.02.2020 00:01:00.000 UTC,74.134,74.136,74.13,74.134,77.05
06.02.2020 00:02:00.000 UTC,74.135,74.145,74.135,74.139,39.07
06.02.2020 00:03:00.000 UTC,74.138,74.138,74.128,74.131,53.81
06.02.2020 00:04:00.000 UTC,74.133,74.138,74.129,74.13,62.14
06.02.2020 00:05:00.000 UTC,74.128,74.129,74.116,74.124,84.99
06.02.2020 00:06:00.000 UTC,74.123,74.152,74.122,74.151,115.7
06.02.2020 00:07:00.000 UTC,74.152,74.159,74.145,74.149,97.79
06.02.2020 00:08:00.000 UTC,74.147,74.17,74.147,74.157,153.67
06.02.2020 00:09:00.000 UTC,74.158,74.161,74.136,74.143,202.22
06.02.2020 00:10:00.000 UTC,74.144,74.147,74.136,74.144,96.54
06.02.2020 00:11:00.000 UTC,74.143,74.157,74.143,74.157,94.92
06.02.2020 00:12:00.000 UTC,74.155,74.155,74.142,74.144,75.93
06.02.2020 00:13:00.000 UTC,74.143,74.146,74.138,74.146,100.64
06.02.2020 00:14:00.000 UTC,74.147,74.147,74.142,74.144,70.04
06.02.2020 00:15:00.000 UTC,74.144,74.151,74.142,74.151,112.76
06.02.2020 00:16:00.000 UTC,74.151,74.156,74.149,74.156,47.07
06.02.2020 00:17:00.000 UTC,74.157,74.158,74.155,74.158,37.63
06.02.2020 00:18:00.000 UTC,74.157,74.163,74.155,74.162,88.81
06.02.2020 00:19:00.000 UTC,74.161,74.165,74.16,74.163,71.36
06.02.2020 00:20:00.000 UTC,74.165,74.19,74.165,74.186,124.87
06.02.2020 00:21:00.000 UTC,74.187,74.191,74.174,74.19,100.31
06.02.2020 00:22:00.000 UTC,74.189,74.19,74.182,74.186,88.98
06.02.2020 00:23:00.000 UTC,74.187,74.187,74.176,74.184,107.61
06.02.2020 00:24:00.000 UTC,74.185,74.189,74.184,74.187,42.33
06.02.2020 00:25:00.000 UTC,74.188,74.207,74.187,74.195,129.04
06.02.2020 00:26:00.000 UTC,74.194,74.198,74.189,74.189,49.53
06.02.2020 00:27:00.000 UTC,74.189,74.2,74.186,74.196,191.25
06.02.2020 00:28:00.000 UTC,74.196,74.212,74.196,74.209,99.78
06.02.2020 00:29:00.000 UTC,74.207,74.209,74.192,74.2,94.96
06.02.2020 00:30:00.000 UTC,74.204,74.21,74.11,74.197,452.53
06.02.2020 00:31:00.000 UTC,74.196,74.261,74.194,74.25,254.37
06.02.2020 00:32:00.000 UTC,74.251,74.255,74.23,74.247,153.68
06.02.2020 00:33:00.000 UTC,74.246,74.261,74.24,74.253,117.15
06.02.2020 00:34:00.000 UTC,74.253,74.253,74.219,74.221,97.43
06.02.2020 00:35:00.000 UTC,74.219,74.244,74.217,74.242,114.2
06.02.2020 00:36:00.000 UTC,74.243,74.251,74.237,74.251,49.61
06.02.2020 00:37:00.000 UTC,74.253,74.254,74.241,74.254,64.04
06.02.2020 00:38:00.000 UTC,74.255,74.255,74.224,74.226,86.74
06.02.2020 00:39:00.000 UTC,74.226,74.239,74.222,74.237,85.33
06.02.2020 00:40:00.000 UTC,74.237,74.251,74.23,74.244,186.52
06.02.2020 00:41:00.000 UTC,74.245,74.299,74.244,74.285,265.91
06.02.2020 00:42:00.000 UTC,74.286,74.312,74.286,74.306,204.93
06.02.2020 00:43:00.000 UTC,74.306,74.313,74.279,74.28,146.24
06.02.2020 00:44:00.000 UTC,74.281,74.284,74.26,74.263,131.4
06.02.2020 00:45:00.000 UTC,74.263,74.274,74.263,74.273,61.54
06.02.2020 00:46:00.000 UTC,74.273,74.276,74.261,74.275,54.52
06.02.2020 00:47:00.000 UTC,74.275,74.275,74.251,74.256,75.81
06.02.2020 00:48:00.000 UTC,74.255,74.262,74.234,74.262,112.56
06.02.2020 00:49:00.000 UTC,74.262,74.262,74.25,74.252,98.39
06.02.2020 00:50:00.000 UTC,74.252,74.293,74.246,74.279,267.59
06.02.2020 00:51:00.000 UTC,74.28,74.287,74.275,74.278,148.14
06.02.2020 00:52:00.000 UTC,74.278,74.278,74.246,74.247,227.5
06.02.2020 00:53:00.000 UTC,74.245,74.25,74.228,74.246,224.47
06.02.2020 00:54:00.000 UTC,74.245,74.245,74.199,74.203,273.22
06.02.2020 00:55:00.000 UTC,74.202,74.221,74.202,74.207,195.73
