UTC,Open,High,Low,Close,Volume
02.01.2018 00:00:00.000 UTC,1.69491,1.69491,1.69441,1.69455,61.91
02.01.2018 00:01:00.000 UTC,1.69455,1.69464,1.69398,1.69426,55.45
02.01.2018 00:02:00.000 UTC,1.69426,1.69431,1.69421,1.69421,27.94
02.01.2018 00:03:00.000 UTC,1.69421,1.69435,1.69421,1.69434,26.39
02.01.2018 00:04:00.000 UTC,1.69435,1.69446,1.69435,1.69446,40.02
02.01.2018 00:05:00.000 UTC,1.69445,1.69452,1.69438,1.69449,31.95
02.01.2018 00:06:00.000 UTC,1.69449,1.69452,1.6944,1.69448,33.01
02.01.2018 00:07:00.000 UTC,1.69448,1.6946,1.69448,1.69458,31.7
02.01.2018 00:08:00.000 UTC,1.69459,1.6946,1.69439,1.69439,29.82
02.01.2018 00:09:00.000 UTC,1.69439,1.69451,1.69438,1.69451,21.69
02.01.2018 00:10:00.000 UTC,1.69451,1.69466,1.69446,1.69466,28.34
02.01.2018 00:11:00.000 UTC,1.69468,1.69495,1.69467,1.69476,46.91
02.01.2018 00:12:00.000 UTC,1.69475,1.69481,1.6947,1.6947,21.51
02.01.2018 00:13:00.000 UTC,1.69471,1.69477,1.69451,1.69476,20.63
02.01.2018 00:14:00.000 UTC,1.69468,1.69472,1.69449,1.69458,15.69
02.01.2018 00:15:00.000 UTC,1.69459,1.69469,1.69454,1.69467,42.68
02.01.2018 00:16:00.000 UTC,1.69467,1.69484,1.6946,1.69461,44.88
02.01.2018 00:17:00.000 UTC,1.6946,1.69461,1.6946,1.6946,31
02.01.2018 00:18:00.000 UTC,1.6946,1.69463,1.69441,1.69463,34.5
02.01.2018 00:19:00.000 UTC,1.69471,1.69483,1.69413,1.69434,58.06
02.01.2018 00:20:00.000 UTC,1.69438,1.69448,1.69424,1.69424,22.5
02.01.2018 00:21:00.000 UTC,1.69425,1.69439,1.69419,1.69439,57.2
02.01.2018 00:22:00.000 UTC,1.69437,1.69452,1.69402,1.69411,47.27
02.01.2018 00:23:00.000 UTC,1.69411,1.69411,1.69321,1.69321,37.32
02.01.2018 00:24:00.000 UTC,1.69321,1.69331,1.69302,1.6931,61.19
02.01.2018 00:25:00.000 UTC,1.69311,1.69333,1.69296,1.69302,66.51
02.01.2018 00:26:00.000 UTC,1.69301,1.69319,1.69301,1.69313,45.19
02.01.2018 00:27:00.000 UTC,1.69314,1.6932,1.69298,1.69304,41.19
02.01.2018 00:28:00.000 UTC,1.69303,1.6934,1.69296,1.69314,54.76
02.01.2018 00:29:00.000 UTC,1.69314,1.69326,1.69258,1.69258,36.88
02.01.2018 00:30:00.000 UTC,1.69264,1.69284,1.6926,1.69261,39.44
02.01.2018 00:31:00.000 UTC,1.69259,1.69259,1.69207,1.69207,30.25
02.01.2018 00:32:00.000 UTC,1.69208,1.69208,1.69185,1.69192,35.99
02.01.2018 00:33:00.000 UTC,1.69192,1.69273,1.69192,1.69262,51.46
02.01.2018 00:34:00.000 UTC,1.69263,1.69263,1.69242,1.69243,43.59
02.01.2018 00:35:00.000 UTC,1.69243,1.69285,1.69243,1.69274,79.16
02.01.2018 00:36:00.000 UTC,1.69275,1.69279,1.69273,1.69275,16.12
02.01.2018 00:37:00.000 UTC,1.69276,1.69281,1.69269,1.69269,19
02.01.2018 00:38:00.000 UTC,1.69269,1.69275,1.69239,1.69251,78.24
02.01.2018 00:39:00.000 UTC,1.6925,1.69252,1.69189,1.69189,55.25
02.01.2018 00:40:00.000 UTC,1.69182,1.69197,1.69172,1.69191,51.81
02.01.2018 00:41:00.000 UTC,1.69192,1.69192,1.69158,1.69159,38
