UTC,Open,High,Low,Close,Volume
02.01.2018 00:00:00.000 UTC,1.69458,1.69458,1.69402,1.69422,68.59
02.01.2018 00:01:00.000 UTC,1.69424,1.69424,1.69375,1.69392,65.21
02.01.2018 00:02:00.000 UTC,1.69392,1.69394,1.69387,1.69389,35.19
02.01.2018 00:03:00.000 UTC,1.69391,1.69396,1.69384,1.69395,28.91
02.01.2018 00:04:00.000 UTC,1.69401,1.69408,1.69398,1.69408,37.19
02.01.2018 00:05:00.000 UTC,1.69408,1.69416,1.69404,1.69413,38
02.01.2018 00:06:00.000 UTC,1.69412,1.69415,1.69405,1.69408,30.6
02.01.2018 00:07:00.000 UTC,1.69407,1.69424,1.69407,1.6942,33.55
02.01.2018 00:08:00.000 UTC,1.69422,1.69424,1.69403,1.69408,30.6
02.01.2018 00:09:00.000 UTC,1.69407,1.69418,1.69404,1.69413,25.98
02.01.2018 00:10:00.000 UTC,1.69414,1.69431,1.69408,1.69431,34.99
02.01.2018 00:11:00.000 UTC,1.69431,1.69459,1.69428,1.69437,51.14
02.01.2018 00:12:00.000 UTC,1.69437,1.69442,1.69437,1.69439,27.04
02.01.2018 00:13:00.000 UTC,1.69439,1.69443,1.69428,1.69443,22.89
02.01.2018 00:14:00.000 UTC,1.69438,1.6944,1.69418,1.69421,17.08
02.01.2018 00:15:00.000 UTC,1.69421,1.69434,1.69421,1.69434,46.56
02.01.2018 00:16:00.000 UTC,1.69433,1.69457,1.69428,1.69428,42.07
02.01.2018 00:17:00.000 UTC,1.69428,1.69434,1.69428,1.69428,3
02.01.2018 00:18:00.000 UTC,1.6943,1.69435,1.69411,1.69432,33
02.01.2018 00:19:00.000 UTC,1.69445,1.69449,1.69383,1.69401,59.21
02.01.2018 00:20:00.000 UTC,1.69406,1.69414,1.6939,1.6939,22.81
02.01.2018 00:21:00.000 UTC,1.69391,1.69404,1.69382,1.69404,63.57
02.01.2018 00:22:00.000 UTC,1.69402,1.69417,1.69369,1.69373,51.11
02.01.2018 00:23:00.000 UTC,1.69373,1.69373,1.6929,1.6929,40.68
02.01.2018 00:24:00.000 UTC,1.6929,1.69302,1.69269,1.69274,71.61
02.01.2018 00:25:00.000 UTC,1.69274,1.69298,1.69264,1.6927,71.26
02.01.2018 00:26:00.000 UTC,1.6927,1.69285,1.6927,1.69279,43.77
02.01.2018 00:27:00.000 UTC,1.69279,1.69287,1.69266,1.69268,38.33
02.01.2018 00:28:00.000 UTC,1.69273,1.69307,1.69261,1.69279,63.9
02.01.2018 00:29:00.000 UTC,1.6928,1.69289,1.69226,1.69226,44.35
02.01.2018 00:30:00.000 UTC,1.69225,1.69248,1.69225,1.69227,47.83
02.01.2018 00:31:00.000 UTC,1.69227,1.69227,1.69176,1.69177,35.56
02.01.2018 00:32:00.000 UTC,1.69177,1.69177,1.69152,1.69157,38.26
02.01.2018 00:33:00.000 UTC,1.69157,1.69238,1.69155,1.69223,53.11
02.01.2018 00:34:00.000 UTC,1.69223,1.69226,1.69204,1.69206,36.44
02.01.2018 00:35:00.000 UTC,1.69207,1.69249,1.69205,1.69249,73.83
02.01.2018 00:36:00.000 UTC,1.69248,1.69249,1.69245,1.69247,18.13
02.01.2018 00:37:00.000 UTC,1.69246,1.69247,1.69242,1.69245,24.84
02.01.2018 00:38:00.000 UTC,1.69246,1.69246,1.69212,1.69214,87.3
02.01.2018 00:39:00.000 UTC,1.69216,1.69217,1.69156,1.69156,65.55
02.01.2018 00:40:00.000 UTC,1.69153,1.69163,1.69139,1.6916,61.92
02.01.2018 00:41:00.000 UTC,1.69159,1.69159,1.69128,1.69131,41.75
02.01.2018 00:42:00.000 UTC,1.69131,1.69137,1.69126,1.69134,47.38
02.01.2018 00:43:00.000 UTC,1.69134,1.69136,1.69132,1.69132,21.42
02.01.2018 00:44:00.000 UTC,1.69132,1.69132,1.69108,1.6911,23.61
02.01.2018 00:45:00.000 UTC,1.6911,1.6911,1.69062,1.69062,48.74
02.01.2018 00:46:00.000 UTC,1.69062,1.691,1.69053,1.69095,60.21
02.01.2018 00:47:00.000 UTC,1.69095,1.69138,1.69088,1.69109,90.24
02.01.2018 00:48:00.000 UTC,1.69109,1.69122,1.69096,1.69096,44.31
02.01.2018 00:49:00.000 UTC,1.69096,1.69101,1.69078,1.69078,42.64
02.01.2018 00:50:00.000 UTC,1.69078,1.69093,1.69056,1.69079,111.76
02.01.2018 00:51:00.000 UTC,1.69079,1.69105,1.69079,1.69097,81.73
02.01.2018 00:52:00.000 UTC,1.69097,1.69102,1.69074,1.69102,80.23
02.01.2018 00:53:00.000 UTC,1.69102,1.69126,1.69075,1.69103,92.7
02.01.2018 00:54:00.000 UTC,1.69103,1.69107,1.69103,1.69107,34.54
02.01.2018 00:55:00.000 UTC,1.69107,1.69116,1.69076,1.6909,86.88
02.01.2018 00:56:00.000 UTC,1.6909,1.69124,1.6909,1.69121,58.73
02.01.2018 00:57:00.000 UTC,1.69121,1.69136,1.69113,1.69136,65.19
02.01.2018 00:58:00.000 UTC,1.69142,1.69155,1.69137,1.69155,72.59
02.01.2018 00:59:00.000 UTC,1.69151,1.69159,1.69149,1.69153,85.1
02.01.2018 01:00:00.000 UTC,1.69152,1.69204,1.69139,1.69185,144.76
02.01.2018 01:01:00.000 UTC,1.69182,1.69208,1.6918,1.69207,148.01
02.01.2018 01:02:00.000 UTC,1.69203,1.69216,1.69177,1.69214,87.26
02.01.2018 01:03:00.000 UTC,1.69208,1.69208,1.69177,1.69177,133.15
02.01.2018 01:04:00.000 UTC,1.69182,1.69187,1.69164,1.69166,85.97
02.01.2018 01:05:00.000 UTC,1.69169,1.69185,1.69158,1.69165,125.11
02.01.2018 01:06:00.000 UTC,1.69166,1.69209,1.69145,1.69187,163.8
02.01.2018 01:07:00.000 UTC,1.69188,1.69188,1.69139,1.6914,104.9
02.01.2018 01:08:00.000 UTC,1.6914,1.69154,1.69131,1.69131,121.49
02.01.2018 01:09:00.000 UTC,1.69147,1.69157,1.69147,1.69156,122.69
02.01.2018 01:10:00.000 UTC,1.69156,1.69175,1.69147,1.69169,131.05
02.01.2018 01:11:00.000 UTC,1.69169,1.69171,1.69152,1.69164,86.7
02.01.2018 01:12:00.000 UTC,1.69164,1.69191,1.69164,1.69186,85.23
