UTC,Open,High,Low,Close,Volume
08.01.2020 00:00:00.000 UTC,1.11541,1.11544,1.11529,1.11537,103.4
08.01.2020 00:01:00.000 UTC,1.11536,1.11549,1.11535,1.11543,164.83
08.01.2020 00:02:00.000 UTC,1.11543,1.11556,1.11543,1.11554,176.98
08.01.2020 00:03:00.000 UTC,1.11554,1.11568,1.11553,1.11557,217.38
08.01.2020 00:04:00.000 UTC,1.11556,1.11556,1.11537,1.11538,222.14
08.01.2020 00:05:00.000 UTC,1.11537,1.11571,1.11535,1.11557,251.13
08.01.2020 00:06:00.000 UTC,1.11558,1.11568,1.11558,1.11563,257.3
08.01.2020 00:07:00.000 UTC,1.1156,1.11565,1.11553,1.11557,176.2
08.01.2020 00:08:00.000 UTC,1.11556,1.11569,1.11556,1.11568,161.68
08.01.2020 00:09:00.000 UTC,1.11568,1.11568,1.11554,1.11565,204.36
08.01.2020 00:10:00.000 UTC,1.11564,1.11585,1.11564,1.11575,377.45
08.01.2020 00:11:00.000 UTC,1.11575,1.11585,1.1157,1.11579,406.85
08.01.2020 00:12:00.000 UTC,1.11578,1.11594,1.11578,1.11582,286.82
08.01.2020 00:13:00.000 UTC,1.11582,1.1159,1.11572,1.1159,227.49
08.01.2020 00:14:00.000 UTC,1.11591,1.11685,1.1159,1.11675,378.88
08.01.2020 00:15:00.000 UTC,1.11675,1.11675,1.11617,1.11644,289.19
08.01.2020 00:16:00.000 UTC,1.11644,1.1166,1.11634,1.11638,202.05
08.01.2020 00:17:00.000 UTC,1.11636,1.11644,1.11617,1.11635,175.55
08.01.2020 00:18:00.000 UTC,1.11636,1.11639,1.11622,1.11628,268.21
08.01.2020 00:19:00.000 UTC,1.11627,1.11631,1.11621,1.11623,232.77
08.01.2020 00:20:00.000 UTC,1.11621,1.11634,1.11617,1.11618,265.97
08.01.2020 00:21:00.000 UTC,1.11618,1.11619,1.11602,1.11612,260.76
08.01.2020 00:22:00.000 UTC,1.11611,1.11618,1.11604,1.11609,152.1
08.01.2020 00:23:00.000 UTC,1.11609,1.11619,1.11607,1.11612,158.6
08.01.2020 00:24:00.000 UTC,1.11613,1.11619,1.11606,1.11619,221.43
08.01.2020 00:25:00.000 UTC,1.11618,1.11618,1.11601,1.11603,224.23
08.01.2020 00:26:00.000 UTC,1.11603,1.11631,1.11602,1.11627,239.91
08.01.2020 00:27:00.000 UTC,1.11627,1.11629,1.11614,1.11614,216.21
08.01.2020 00:28:00.000 UTC,1.11613,1.1163,1.11609,1.11626,185.97
08.01.2020 00:29:00.000 UTC,1.11627,1.11632,1.11621,1.11627,186.76
08.01.2020 00:30:00.000 UTC,1.11627,1.11629,1.11616,1.11622,141.86
08.01.2020 00:31:00.000 UTC,1.11623,1.11634,1.11621,1.11633,182.05
08.01.2020 00:32:00.000 UTC,1.11633,1.11648,1.11632,1.11641,278.84
08.01.2020 00:33:00.000 UTC,1.11639,1.11653,1.11638,1.11652,196.63
08.01.2020 00:34:00.000 UTC,1.11652,1.11657,1.1162,1.11635,319.94
08.01.2020 00:35:00.000 UTC,1.11635,1.11642,1.11628,1.11628,204.74
08.01.2020 00:36:00.000 UTC,1.11628,1.11636,1.11627,1.1163,211.83
08.01.2020 00:37:00.000 UTC,1.11631,1.11636,1.11623,1.11632,248.74
08.01.2020 00:38:00.000 UTC,1.11632,1.1164,1.1163,1.11638,134.06
08.01.2020 00:39:00.000 UTC,1.11638,1.11643,1.11625,1.11627,208.43
08.01.2020 00:40:00.000 UTC,1.11626,1.11629,1.11621,1.11625,207.44
08.01.2020 00:41:00.000 UTC,1.11624,1.11624,1.11608,1.11614,183.58
08.01.2020 00:42:00.000 UTC,1.11613,1.11621,1.11607,1.11621,214.18
08.01.2020 00:43:00.000 UTC,1.1162,1.11624,1.11616,1.11617,267.97
08.01.2020 00:44:00.000 UTC,1.11618,1.1162,1.11604,1.11607,202.58
08.01.2020 00:45:00.000 UTC,1.11608,1.1161,1.11606,1.11608,141.99
08.01.2020 00:46:00.000 UTC,1.11609,1.11609,1.11601,1.11606,170.43
08.01.2020 00:47:00.000 UTC,1.11606,1.11617,1.11602,1.11616,201.88
08.01.2020 00:48:00.000 UTC,1.11616,1.1162,1.11609,1.11609,124.78
08.01.2020 00:49:00.000 UTC,1.11611,1.11617,1.11607,1.11607,123.29
08.01.2020 00:50:00.000 UTC,1.11609,1.11612,1.11603,1.1161,176.46
08.01.2020 00:51:00.000 UTC,1.11608,1.11618,1.11608,1.11618,105.71
08.01.2020 00:52:00.000 UTC,1.11618,1.11626,1.11614,1.11615,100.38
08.01.2020 00:53:00.000 UTC,1.11615,1.1162,1.11613,1.11614,54.6
08.01.2020 00:54:00.000 UTC,1.11614,1.11618,1.11612,1.11617,94.42
08.01.2020 00:55:00.000 UTC,1.11617,1.11617,1.11603,1.11609,108.5
08.01.2020 00:56:00.000 UTC,1.11608,1.11613,1.11604,1.11607,197.49
08.01.2020 00:57:00.000 UTC,1.11608,1.11608,1.11602,1.11603,150.35
08.01.2020 00:58:00.000 UTC,1.11604,1.11604,1.11592,1.11597,136.54
08.01.2020 00:59:00.000 UTC,1.11596,1.11599,1.11587,1.11588,103.76
08.01.2020 01:00:00.000 UTC,1.11588,1.11609,1.11588,1.11601,340.84
08.01.2020 01:01:00.000 UTC,1.11602,1.11607,1.11593,1.11596,258.16
08.01.2020 01:02:00.000 UTC,1.11595,1.11605,1.11595,1.11603,200.3
08.01.2020 01:03:00.000 UTC,1.11602,1.11607,1.11596,1.11598,279.77
08.01.2020 01:04:00.000 UTC,1.11597,1.11604,1.11596,1.11597,234.82
08.01.2020 01:05:00.000 UTC,1.11598,1.11603,1.11588,1.11592,159.31
08.01.2020 01:06:00.000 UTC,1.11592,1.1162,1.1159,1.11618,182.93
08.01.2020 01:07:00.000 UTC,1.11619,1.11626,1.11614,1.11619,148.56
08.01.2020 01:08:00.000 UTC,1.11619,1.11628,1.11617,1.11618,205.8
08.01.2020 01:09:00.000 UTC,1.11618,1.11619,1.11605,1.11618,204.31
08.01.2020 01:10:00.000 UTC,1.11619,1.11634,1.11615,1.11634,122.7
08.01.2020 01:11:00.000 UTC,1.11633,1.11634,1.11618,1.11618,124.38
08.01.2020 01:12:00.000 UTC,1.11615,1.11615,1.11607,1.11613,82.11
08.01.2020 01:13:00.000 UTC,1.11613,1.11615,1.11605,1.11606,102.23
08.01.2020 01:14:00.000 UTC,1.11606,1.11615,1.11605,1.11613,81.65
08.01.2020 01:15:00.000 UTC,1.11613,1.11625,1.11612,1.11616,167
08.01.2020 01:16:00.000 UTC,1.11616,1.11618,1.11608,1.11615,76.29
08.01.2020 01:17:00.000 UTC,1.11613,1.11614,1.116,1.116,78.38
08.01.2020 01:18:00.000 UTC,1.11599,1.11608,1.11599,1.11608,72.42
08.01.2020 01:19:00.000 UTC,1.11608,1.1161,1.11605,1.11609,105.47
08.01.2020 01:20:00.000 UTC,1.11608,1.11609,1.11589,1.11589,153.76
08.01.2020 01:21:00.000 UTC,1.11588,1.11596,1.11588,1.11596,87.19
08.01.2020 01:22:00.000 UTC,1.11595,1.11598,1.11587,1.11592,96.93
08.01.2020 01:23:00.000 UTC,1.11592,1.11595,1.11586,1.11593,124.36
08.01.2020 01:24:00.000 UTC,1.11594,1.11599,1.11592,1.11599,136.05
08.01.2020 01:25:00.000 UTC,1.11598,1.11601,1.11597,1.11598,57.37
08.01.2020 01:26:00.000 UTC,1.11598,1.11599,1.11596,1.11599,68.83
08.01.2020 01:27:00.000 UTC,1.11598,1.11605,1.11589,1.11589,165.73
08.01.2020 01:28:00.000 UTC,1.1159,1.11594,1.11589,1.11593,59.97
08.01.2020 01:29:00.000 UTC,1.11592,1.11594,1.11592,1.11593,36.91
08.01.2020 01:30:00.000 UTC,1.11592,1.11609,1.11592,1.11609,81.76
