UTC,Open,High,Low,Close,Volume
08.01.2020 00:00:00.000 UTC,1.11539,1.11541,1.11525,1.11533,143.11
08.01.2020 00:01:00.000 UTC,1.11534,1.11546,1.11532,1.11542,150.87
08.01.2020 00:02:00.000 UTC,1.1154,1.11553,1.1154,1.11552,188.18
08.01.2020 00:03:00.000 UTC,1.11551,1.11565,1.1155,1.11554,258.89
08.01.2020 00:04:00.000 UTC,1.11553,1.11554,1.11533,1.11534,213.32
08.01.2020 00:05:00.000 UTC,1.11534,1.11569,1.11532,1.11554,230.25
08.01.2020 00:06:00.000 UTC,1.11556,1.11565,1.11556,1.1156,180.31
08.01.2020 00:07:00.000 UTC,1.11558,1.11562,1.11551,1.11554,166.6
08.01.2020 00:08:00.000 UTC,1.11554,1.11566,1.11554,1.11565,159.98
08.01.2020 00:09:00.000 UTC,1.11563,1.11564,1.11551,1.1156,179.06
08.01.2020 00:10:00.000 UTC,1.1156,1.11582,1.1156,1.11572,311.01
08.01.2020 00:11:00.000 UTC,1.11571,1.11583,1.11568,1.11576,461.3
08.01.2020 00:12:00.000 UTC,1.11575,1.11592,1.11575,1.11579,249.09
08.01.2020 00:13:00.000 UTC,1.11581,1.11587,1.1157,1.11585,192.89
08.01.2020 00:14:00.000 UTC,1.11585,1.11682,1.11585,1.11671,261.27
08.01.2020 00:15:00.000 UTC,1.1167,1.1167,1.11614,1.1164,317.08
08.01.2020 00:16:00.000 UTC,1.11639,1.11657,1.11633,1.11634,227.3
08.01.2020 00:17:00.000 UTC,1.11634,1.11641,1.11614,1.11633,245.41
08.01.2020 00:18:00.000 UTC,1.11633,1.11637,1.11618,1.11627,233.73
08.01.2020 00:19:00.000 UTC,1.11625,1.11628,1.11618,1.11621,193.52
08.01.2020 00:20:00.000 UTC,1.11619,1.1163,1.11614,1.11615,260.71
08.01.2020 00:21:00.000 UTC,1.11616,1.11617,1.116,1.11609,280.67
08.01.2020 00:22:00.000 UTC,1.11609,1.11614,1.11602,1.11607,161.29
08.01.2020 00:23:00.000 UTC,1.11606,1.11618,1.11605,1.1161,169.79
08.01.2020 00:24:00.000 UTC,1.1161,1.11616,1.11604,1.11615,241.64
08.01.2020 00:25:00.000 UTC,1.11615,1.11616,1.11599,1.11599,254.31
08.01.2020 00:26:00.000 UTC,1.11601,1.11627,1.116,1.11623,196.51
08.01.2020 00:27:00.000 UTC,1.11625,1.11628,1.1161,1.1161,227.47
08.01.2020 00:28:00.000 UTC,1.1161,1.11627,1.11604,1.11623,223.84
08.01.2020 00:29:00.000 UTC,1.11624,1.11628,1.11618,1.11623,162.88
08.01.2020 00:30:00.000 UTC,1.11624,1.11626,1.11614,1.1162,182.57
08.01.2020 00:31:00.000 UTC,1.11621,1.11631,1.1162,1.11631,195.67
08.01.2020 00:32:00.000 UTC,1.11632,1.11646,1.1163,1.11638,254.54
08.01.2020 00:33:00.000 UTC,1.11637,1.11651,1.11636,1.11651,174.97
08.01.2020 00:34:00.000 UTC,1.1165,1.11654,1.11618,1.11634,330.42
08.01.2020 00:35:00.000 UTC,1.11633,1.11639,1.11625,1.11626,180.49
08.01.2020 00:36:00.000 UTC,1.11625,1.11633,1.11624,1.11627,211.39
08.01.2020 00:37:00.000 UTC,1.11627,1.11633,1.11621,1.11631,167.48
08.01.2020 00:38:00.000 UTC,1.1163,1.11637,1.11627,1.11635,146.95
08.01.2020 00:39:00.000 UTC,1.11636,1.11638,1.11623,1.11624,142.61
08.01.2020 00:40:00.000 UTC,1.11624,1.11627,1.1162,1.11623,130.13
08.01.2020 00:41:00.000 UTC,1.11622,1.11622,1.11605,1.1161,138.29
