UTC,Open,High,Low,Close,Volume
03.04.2020 00:00:00.000 UTC,1.5543,1.5579,1.5543,1.5561,0.0055
03.04.2020 00:01:00.000 UTC,1.5559,1.5569,1.5554,1.5554,0.0033
03.04.2020 00:02:00.000 UTC,1.5564,1.5564,1.5564,1.5564,0.0011
03.04.2020 00:03:00.000 UTC,1.5553,1.5553,1.5552,1.5552,0.0022
03.04.2020 00:04:00.000 UTC,1.5552,1.5579,1.5552,1.5561,0.0044
03.04.2020 00:05:00.000 UTC,1.5574,1.5574,1.5552,1.5564,0.0099
03.04.2020 00:06:00.000 UTC,1.5553,1.5564,1.5552,1.5552,0.0033
03.04.2020 00:07:00.000 UTC,1.5563,1.5563,1.5563,1.5563,0.0011
03.04.2020 00:09:00.000 UTC,1.5552,1.5569,1.5552,1.5569,0.0022
03.04.2020 00:10:00.000 UTC,1.5572,1.5649,1.5561,1.5621,0.0189
03.04.2020 00:11:00.000 UTC,1.5624,1.5644,1.5619,1.5642,0.0123
03.04.2020 00:12:00.000 UTC,1.5633,1.5643,1.5622,1.5629,0.009
03.04.2020 00:13:00.000 UTC,1.5624,1.5624,1.5582,1.5591,0.0078
03.04.2020 00:14:00.000 UTC,1.5591,1.5602,1.5591,1.5602,0.0044
03.04.2020 00:15:00.000 UTC,1.5592,1.5624,1.5592,1.5613,0.01215
03.04.2020 00:16:00.000 UTC,1.5622,1.5643,1.5614,1.5642,0.00555
03.04.2020 00:17:00.000 UTC,1.5641,1.5649,1.5631,1.5631,0.00665
03.04.2020 00:18:00.000 UTC,1.5623,1.5623,1.5601,1.5601,0.0033
03.04.2020 00:19:00.000 UTC,1.5619,1.5619,1.5619,1.5619,0.0011
03.04.2020 00:20:00.000 UTC,1.5621,1.5624,1.5613,1.5613,0.00225
03.04.2020 00:22:00.000 UTC,1.5614,1.5614,1.5604,1.5611,0.00225
03.04.2020 00:23:00.000 UTC,1.5602,1.5632,1.5602,1.5632,0.0044
03.04.2020 00:24:00.000 UTC,1.5629,1.5631,1.5619,1.5619,0.0066
03.04.2020 00:26:00.000 UTC,1.5621,1.5621,1.5621,1.5621,0.0011
03.04.2020 00:27:00.000 UTC,1.5622,1.5639,1.5622,1.5639,0.0055
03.04.2020 00:28:00.000 UTC,1.5649,1.5649,1.5621,1.5621,0.0077
03.04.2020 00:29:00.000 UTC,1.5612,1.5622,1.5612,1.5622,0.0022
03.04.2020 00:30:00.000 UTC,1.5613,1.5614,1.5602,1.5614,0.0033
03.04.2020 00:31:00.000 UTC,1.5629,1.5639,1.5629,1.5633,0.0033
03.04.2020 00:32:00.000 UTC,1.5631,1.5634,1.5622,1.5622,0.0044
03.04.2020 00:33:00.000 UTC,1.5613,1.5613,1.5613,1.5613,0.0011
03.04.2020 00:34:00.000 UTC,1.5601,1.5601,1.5601,1.5601,0.0011
03.04.2020 00:35:00.000 UTC,1.5612,1.5612,1.5612,1.5612,0.0011
03.04.2020 00:36:00.000 UTC,1.5602,1.5602,1.5602,1.5602,0.0011
03.04.2020 00:37:00.000 UTC,1.5614,1.5614,1.5614,1.5614,0.0011
03.04.2020 00:42:00.000 UTC,1.5614,1.5614,1.5591,1.5591,0.0066
03.04.2020 00:43:00.000 UTC,1.5589,1.5604,1.5581,1.5592,0.0077
03.04.2020 00:44:00.000 UTC,1.5602,1.5604,1.5593,1.5594,0.0044
03.04.2020 00:45:00.000 UTC,1.5589,1.5594,1.5579,1.5579,0.0044
03.04.2020 00:47:00.000 UTC,1.5574,1.5583,1.5574,1.5583,0.0022
