UTC,Open,High,Low,Close,Volume
01.01.2020 22:03:00.000 UTC,1.71988,1.71998,1.71988,1.71998,1.5
01.01.2020 22:04:00.000 UTC,1.71994,1.71994,1.71994,1.71994,0.75
01.01.2020 22:05:00.000 UTC,1.72009,1.72009,1.72008,1.72008,3.75
01.01.2020 22:06:00.000 UTC,1.72009,1.72009,1.71922,1.71922,6.01
01.01.2020 22:07:00.000 UTC,1.71845,1.71845,1.71845,1.71845,3
01.01.2020 22:08:00.000 UTC,1.71948,1.72036,1.71948,1.72023,3.02
01.01.2020 22:09:00.000 UTC,1.72023,1.72024,1.72023,1.72024,2
01.01.2020 22:10:00.000 UTC,1.72024,1.72024,1.72024,1.72024,7.75
01.01.2020 22:11:00.000 UTC,1.72023,1.72023,1.72023,1.72023,71
01.01.2020 22:12:00.000 UTC,1.72023,1.72023,1.72023,1.72023,47
01.01.2020 22:13:00.000 UTC,1.72024,1.72024,1.71951,1.71952,9.41
01.01.2020 22:14:00.000 UTC,1.71952,1.71952,1.71883,1.719,113.39
01.01.2020 22:15:00.000 UTC,1.71886,1.71936,1.71879,1.71879,243
01.01.2020 22:16:00.000 UTC,1.71884,1.71973,1.71879,1.71973,81.5
01.01.2020 22:17:00.000 UTC,1.71901,1.71911,1.71901,1.71911,2.26
01.01.2020 22:18:00.000 UTC,1.71949,1.7195,1.71947,1.71947,1.26
01.01.2020 22:19:00.000 UTC,1.71873,1.71874,1.71871,1.71874,12
01.01.2020 22:20:00.000 UTC,1.71871,1.71873,1.71841,1.71864,269
01.01.2020 22:21:00.000 UTC,1.7186,1.7188,1.71853,1.71878,275
01.01.2020 22:22:00.000 UTC,1.71866,1.71901,1.71859,1.71897,293
01.01.2020 22:23:00.000 UTC,1.71893,1.71898,1.71877,1.71891,269
01.01.2020 22:24:00.000 UTC,1.71897,1.71954,1.71859,1.71895,129.02
01.01.2020 22:25:00.000 UTC,1.71896,1.71954,1.71889,1.71899,59.52
01.01.2020 22:26:00.000 UTC,1.71901,1.72007,1.71881,1.72007,112.14
01.01.2020 22:27:00.000 UTC,1.72007,1.72011,1.72007,1.72011,1.15
01.01.2020 22:29:00.000 UTC,1.71908,1.71908,1.7188,1.7188,2
01.01.2020 22:30:00.000 UTC,1.72018,1.72024,1.71911,1.71911,7.59
01.01.2020 22:31:00.000 UTC,1.71968,1.72026,1.71908,1.71931,10.97
01.01.2020 22:32:00.000 UTC,1.71988,1.71999,1.71936,1.71993,6.54
01.01.2020 22:33:00.000 UTC,1.71993,1.71993,1.71921,1.71927,2.94
01.01.2020 22:34:00.000 UTC,1.71921,1.72018,1.71921,1.72012,4.04
01.01.2020 22:35:00.000 UTC,1.71892,1.72011,1.71889,1.71989,60.28
01.01.2020 22:36:00.000 UTC,1.71995,1.71995,1.71989,1.71989,2.84
01.01.2020 22:37:00.000 UTC,1.71989,1.71989,1.71921,1.71921,14.01
01.01.2020 22:38:00.000 UTC,1.71921,1.72,1.71872,1.72,45.5
01.01.2020 22:39:00.000 UTC,1.72,1.72014,1.71906,1.7192,17.95
01.01.2020 22:40:00.000 UTC,1.71985,1.72014,1.71919,1.72012,63.47
01.01.2020 22:41:00.000 UTC,1.72012,1.72012,1.71992,1.71992,2.32
01.01.2020 22:42:00.000 UTC,1.71992,1.72006,1.71907,1.71999,102.32
01.01.2020 22:43:00.000 UTC,1.71999,1.71999,1.71879,1.71902,15.6
01.01.2020 22:44:00.000 UTC,1.71878,1.71996,1.71878,1.71995,7.2
01.01.2020 22:45:00.000 UTC,1.71995,1.72014,1.71891,1.71996,64.7
01.01.2020 22:46:00.000 UTC,1.71996,1.72012,1.71935,1.71995,30.87
01.01.2020 22:47:00.000 UTC,1.71995,1.71998,1.71925,1.71995,169.74
01.01.2020 22:48:00.000 UTC,1.71995,1.71998,1.71925,1.71998,44.94
01.01.2020 22:49:00.000 UTC,1.71998,1.71999,1.71992,1.71998,3.33
01.01.2020 22:50:00.000 UTC,1.71998,1.71999,1.71997,1.71999,0.39
01.01.2020 22:51:00.000 UTC,1.72002,1.72003,1.71905,1.72003,3.08
01.01.2020 22:52:00.000 UTC,1.71997,1.72011,1.71948,1.71948,2.54
01.01.2020 22:53:00.000 UTC,1.7201,1.7201,1.72003,1.72003,0.39
01.01.2020 22:54:00.000 UTC,1.72009,1.72048,1.72003,1.7204,4.75
01.01.2020 22:55:00.000 UTC,1.7204,1.72046,1.71961,1.71961,18.5
01.01.2020 22:56:00.000 UTC,1.72043,1.72076,1.7196,1.72044,19.11
01.01.2020 22:57:00.000 UTC,1.72049,1.72049,1.72048,1.72048,78.65
01.01.2020 22:58:00.000 UTC,1.72048,1.72048,1.71979,1.71979,23.96
01.01.2020 22:59:00.000 UTC,1.72007,1.72007,1.71959,1.71959,5.92
01.01.2020 23:00:00.000 UTC,1.71979,1.7203,1.71887,1.71932,83.51
01.01.2020 23:01:00.000 UTC,1.71931,1.72028,1.71924,1.71965,70.43
