UTC,Open,High,Low,Close,Volume
02.01.2018 00:00:00.000 UTC,152.356,152.363,152.34,152.341,89.55
02.01.2018 00:01:00.000 UTC,152.342,152.344,152.326,152.34,56.55
02.01.2018 00:02:00.000 UTC,152.342,152.354,152.337,152.347,80.38
02.01.2018 00:03:00.000 UTC,152.345,152.355,152.345,152.352,44.63
02.01.2018 00:04:00.000 UTC,152.354,152.354,152.347,152.348,39.42
02.01.2018 00:05:00.000 UTC,152.351,152.36,152.351,152.354,33.93
02.01.2018 00:06:00.000 UTC,152.354,152.354,152.333,152.333,26.2
02.01.2018 00:07:00.000 UTC,152.333,152.355,152.333,152.353,55.18
02.01.2018 00:08:00.000 UTC,152.353,152.354,152.345,152.348,44.35
02.01.2018 00:09:00.000 UTC,152.348,152.364,152.348,152.349,35.87
02.01.2018 00:10:00.000 UTC,152.351,152.354,152.338,152.341,59.6
02.01.2018 00:11:00.000 UTC,152.34,152.349,152.336,152.349,51.09
02.01.2018 00:12:00.000 UTC,152.349,152.349,152.336,152.34,25.19
02.01.2018 00:13:00.000 UTC,152.34,152.34,152.33,152.33,21.24
02.01.2018 00:14:00.000 UTC,152.33,152.331,152.326,152.331,29.58
02.01.2018 00:15:00.000 UTC,152.33,152.333,152.328,152.333,19.67
02.01.2018 00:16:00.000 UTC,152.334,152.357,152.334,152.345,33.47
02.01.2018 00:17:00.000 UTC,152.345,152.367,152.345,152.367,33.81
02.01.2018 00:18:00.000 UTC,152.371,152.371,152.36,152.36,17.4
02.01.2018 00:19:00.000 UTC,152.359,152.38,152.357,152.38,38.3
02.01.2018 00:20:00.000 UTC,152.381,152.399,152.381,152.393,37.24
02.01.2018 00:21:00.000 UTC,152.392,152.425,152.391,152.4,91.03
02.01.2018 00:22:00.000 UTC,152.4,152.404,152.379,152.386,73.34
02.01.2018 00:23:00.000 UTC,152.39,152.404,152.378,152.39,85.64
02.01.2018 00:24:00.000 UTC,152.391,152.414,152.378,152.385,49.69
02.01.2018 00:25:00.000 UTC,152.39,152.4,152.384,152.384,20.31
02.01.2018 00:26:00.000 UTC,152.386,152.386,152.376,152.379,26.76
02.01.2018 00:27:00.000 UTC,152.379,152.379,152.371,152.373,32.27
02.01.2018 00:28:00.000 UTC,152.373,152.377,152.363,152.372,14.26
02.01.2018 00:29:00.000 UTC,152.372,152.391,152.362,152.385,37.33
02.01.2018 00:30:00.000 UTC,152.383,152.384,152.367,152.368,40.37
02.01.2018 00:31:00.000 UTC,152.368,152.372,152.363,152.363,15.38
02.01.2018 00:32:00.000 UTC,152.361,152.381,152.361,152.381,32.07
02.01.2018 00:33:00.000 UTC,152.381,152.391,152.381,152.387,50.61
02.01.2018 00:34:00.000 UTC,152.387,152.4,152.384,152.4,31.04
02.01.2018 00:35:00.000 UTC,152.402,152.409,152.4,152.405,19.31
02.01.2018 00:36:00.000 UTC,152.408,152.409,152.408,152.409,19.87
02.01.2018 00:37:00.000 UTC,152.41,152.415,152.409,152.409,9.5
02.01.2018 00:38:00.000 UTC,152.406,152.416,152.389,152.416,44.58
02.01.2018 00:39:00.000 UTC,152.417,152.423,152.404,152.418,26.02
02.01.2018 00:40:00.000 UTC,152.418,152.423,152.416,152.418,36.88
02.01.2018 00:41:00.000 UTC,152.418,152.436,152.418,152.434,61.5
02.01.2018 00:42:00.000 UTC,152.433,152.433,152.419,152.423,39.8
02.01.2018 00:43:00.000 UTC,152.423,152.435,152.421,152.425,41.39
02.01.2018 00:44:00.000 UTC,152.425,152.428,152.405,152.412,55.17
02.01.2018 00:45:00.000 UTC,152.413,152.416,152.384,152.384,66.43
02.01.2018 00:46:00.000 UTC,152.385,152.385,152.374,152.38,38.13
02.01.2018 00:47:00.000 UTC,152.38,152.38,152.358,152.376,51.71
02.01.2018 00:48:00.000 UTC,152.376,152.377,152.362,152.364,43.82
02.01.2018 00:49:00.000 UTC,152.364,152.367,152.359,152.367,43.88
02.01.2018 00:50:00.000 UTC,152.367,152.372,152.349,152.357,48.45
02.01.2018 00:51:00.000 UTC,152.357,152.364,152.357,152.36,60.3
02.01.2018 00:52:00.000 UTC,152.36,152.368,152.36,152.366,72.82
02.01.2018 00:53:00.000 UTC,152.366,152.376,152.366,152.368,51.52
02.01.2018 00:54:00.000 UTC,152.365,152.369,152.365,152.366,60.4
02.01.2018 00:55:00.000 UTC,152.366,152.366,152.327,152.327,72.05
02.01.2018 00:56:00.000 UTC,152.327,152.327,152.306,152.306,76.07
02.01.2018 00:57:00.000 UTC,152.307,152.307,152.297,152.303,142.6
02.01.2018 00:58:00.000 UTC,152.317,152.335,152.317,152.328,55.72
02.01.2018 00:59:00.000 UTC,152.327,152.338,152.322,152.335,53.38
02.01.2018 01:00:00.000 UTC,152.334,152.351,152.322,152.343,105.54
02.01.2018 01:01:00.000 UTC,152.345,152.355,152.341,152.344,111.67
02.01.2018 01:02:00.000 UTC,152.344,152.363,152.344,152.363,47.91
02.01.2018 01:03:00.000 UTC,152.358,152.361,152.347,152.351,47.53
02.01.2018 01:04:00.000 UTC,152.353,152.364,152.348,152.362,19.62
02.01.2018 01:05:00.000 UTC,152.362,152.368,152.353,152.368,77.67
02.01.2018 01:06:00.000 UTC,152.366,152.366,152.333,152.365,60.59
02.01.2018 01:07:00.000 UTC,152.364,152.371,152.345,152.345,45.36
02.01.2018 01:08:00.000 UTC,152.346,152.38,152.342,152.371,73.54
02.01.2018 01:09:00.000 UTC,152.371,152.371,152.339,152.339,62.66
02.01.2018 01:10:00.000 UTC,152.336,152.35,152.314,152.32,83.54
02.01.2018 01:11:00.000 UTC,152.321,152.338,152.321,152.335,80.08
02.01.2018 01:12:00.000 UTC,152.336,152.367,152.334,152.367,105.34
02.01.2018 01:13:00.000 UTC,152.365,152.365,152.361,152.365,29.4
02.01.2018 01:14:00.000 UTC,152.363,152.394,152.36,152.375,99.55
02.01.2018 01:15:00.000 UTC,152.375,152.375,152.372,152.372,38.27
02.01.2018 01:16:00.000 UTC,152.372,152.377,152.335,152.348,140.22
02.01.2018 01:17:00.000 UTC,152.353,152.353,152.344,152.353,77.64
02.01.2018 01:18:00.000 UTC,152.353,152.353,152.34,152.345,86.35
02.01.2018 01:19:00.000 UTC,152.347,152.361,152.347,152.353,53.93
02.01.2018 01:20:00.000 UTC,152.353,152.354,152.336,152.345,46.86
02.01.2018 01:21:00.000 UTC,152.347,152.352,152.345,152.349,148.81
02.01.2018 01:22:00.000 UTC,152.349,152.353,152.34,152.34,58.87
02.01.2018 01:23:00.000 UTC,152.34,152.353,152.34,152.346,63.82
02.01.2018 01:24:00.000 UTC,152.346,152.355,152.344,152.348,45.97
02.01.2018 01:25:00.000 UTC,152.347,152.348,152.34,152.346,36.43
02.01.2018 01:26:00.000 UTC,152.347,152.351,152.347,152.351,23.35
02.01.2018 01:27:00.000 UTC,152.35,152.353,152.35,152.353,27.72
02.01.2018 01:28:00.000 UTC,152.353,152.355,152.351,152.352,27.63
02.01.2018 01:29:00.000 UTC,152.351,152.354,152.335,152.35,82.96
02.01.2018 01:30:00.000 UTC,152.349,152.351,152.337,152.337,37.26
02.01.2018 01:31:00.000 UTC,152.341,152.344,152.329,152.33,27.25
02.01.2018 01:32:00.000 UTC,152.329,152.34,152.324,152.324,48.25
02.01.2018 01:33:00.000 UTC,152.324,152.327,152.311,152.323,56.61
02.01.2018 01:34:00.000 UTC,152.326,152.352,152.326,152.338,60.98
02.01.2018 01:35:00.000 UTC,152.337,152.339,152.336,152.336,18.12
02.01.2018 01:36:00.000 UTC,152.333,152.338,152.33,152.33,26.04
02.01.2018 01:37:00.000 UTC,152.328,152.332,152.321,152.328,41.58
02.01.2018 01:38:00.000 UTC,152.327,152.339,152.324,152.336,52.79
02.01.2018 01:39:00.000 UTC,152.337,152.337,152.31,152.318,45
02.01.2018 01:40:00.000 UTC,152.315,152.336,152.315,152.325,62.12
02.01.2018 01:41:00.000 UTC,152.328,152.33,152.322,152.329,21.65
02.01.2018 01:42:00.000 UTC,152.328,152.331,152.323,152.325,63.94
02.01.2018 01:43:00.000 UTC,152.324,152.341,152.324,152.335,29.56
02.01.2018 01:44:00.000 UTC,152.338,152.349,152.338,152.349,22.44
02.01.2018 01:45:00.000 UTC,152.349,152.354,152.344,152.344,17.43
02.01.2018 01:46:00.000 UTC,152.348,152.362,152.347,152.356,35.09
02.01.2018 01:47:00.000 UTC,152.353,152.365,152.352,152.352,29.67
02.01.2018 01:48:00.000 UTC,152.351,152.351,152.324,152.324,109.06
02.01.2018 01:49:00.000 UTC,152.322,152.336,152.322,152.331,74.31
02.01.2018 01:50:00.000 UTC,152.331,152.337,152.331,152.337,21.35
02.01.2018 01:51:00.000 UTC,152.335,152.34,152.329,152.33,33.85
02.01.2018 01:52:00.000 UTC,152.332,152.342,152.314,152.316,46.82
02.01.2018 01:53:00.000 UTC,152.316,152.324,152.308,152.308,43.63
02.01.2018 01:54:00.000 UTC,152.308,152.316,152.29,152.316,89.14
02.01.2018 01:55:00.000 UTC,152.317,152.328,152.312,152.328,135.17
02.01.2018 01:56:00.000 UTC,152.33,152.33,152.316,152.33,59.92
02.01.2018 01:57:00.000 UTC,152.329,152.329,152.299,152.31,76.59
02.01.2018 01:58:00.000 UTC,152.311,152.338,152.304,152.33,91.22
02.01.2018 01:59:00.000 UTC,152.327,152.332,152.316,152.325,76.1
02.01.2018 02:00:00.000 UTC,152.322,152.331,152.319,152.323,31.48
02.01.2018 02:01:00.000 UTC,152.324,152.335,152.321,152.333,54.44
02.01.2018 02:02:00.000 UTC,152.332,152.333,152.326,152.332,41.96
02.01.2018 02:03:00.000 UTC,152.33,152.33,152.308,152.308,114.82
02.01.2018 02:04:00.000 UTC,152.308,152.31,152.294,152.31,98.43
02.01.2018 02:05:00.000 UTC,152.31,152.328,152.31,152.319,50.56
02.01.2018 02:06:00.000 UTC,152.319,152.319,152.304,152.304,27.55
02.01.2018 02:07:00.000 UTC,152.304,152.312,152.291,152.299,45.03
02.01.2018 02:08:00.000 UTC,152.296,152.307,152.296,152.307,33.63
02.01.2018 02:09:00.000 UTC,152.309,152.331,152.309,152.324,84.01
02.01.2018 02:10:00.000 UTC,152.324,152.324,152.307,152.307,55.84
02.01.2018 02:11:00.000 UTC,152.307,152.326,152.307,152.324,90.33
02.01.2018 02:12:00.000 UTC,152.322,152.322,152.304,152.308,64.28
02.01.2018 02:13:00.000 UTC,152.308,152.311,152.308,152.31,23.78
02.01.2018 02:14:00.000 UTC,152.31,152.31,152.303,152.305,32.95
02.01.2018 02:15:00.000 UTC,152.305,152.311,152.301,152.301,71.59
02.01.2018 02:16:00.000 UTC,152.299,152.306,152.283,152.286,52.66
02.01.2018 02:17:00.000 UTC,152.286,152.3,152.286,152.299,23.48
02.01.2018 02:18:00.000 UTC,152.298,152.299,152.284,152.297,40.81
02.01.2018 02:19:00.000 UTC,152.295,152.3,152.291,152.291,36.58
02.01.2018 02:20:00.000 UTC,152.29,152.29,152.285,152.285,16.07
02.01.2018 02:21:00.000 UTC,152.286,152.291,152.281,152.29,30.08
02.01.2018 02:22:00.000 UTC,152.287,152.303,152.284,152.287,81.68
02.01.2018 02:23:00.000 UTC,152.289,152.297,152.285,152.296,29.37
02.01.2018 02:24:00.000 UTC,152.297,152.313,152.293,152.307,60.95
02.01.2018 02:25:00.000 UTC,152.308,152.351,152.308,152.347,46.29
02.01.2018 02:26:00.000 UTC,152.347,152.347,152.335,152.344,29.54
02.01.2018 02:27:00.000 UTC,152.345,152.35,152.345,152.346,13.37
02.01.2018 02:28:00.000 UTC,152.346,152.347,152.342,152.344,50.99
02.01.2018 02:29:00.000 UTC,152.344,152.354,152.344,152.349,21.12
02.01.2018 02:30:00.000 UTC,152.349,152.374,152.349,152.351,71.48
02.01.2018 02:31:00.000 UTC,152.352,152.354,152.348,152.348,15.56
02.01.2018 02:32:00.000 UTC,152.349,152.372,152.349,152.363,66.08
02.01.2018 02:33:00.000 UTC,152.363,152.366,152.363,152.366,5
02.01.2018 02:34:00.000 UTC,152.366,152.366,152.341,152.344,48.09
02.01.2018 02:35:00.000 UTC,152.342,152.345,152.327,152.336,51.56
02.01.2018 02:36:00.000 UTC,152.337,152.337,152.32,152.332,98.2
02.01.2018 02:37:00.000 UTC,152.328,152.339,152.328,152.338,61.64
02.01.2018 02:38:00.000 UTC,152.338,152.35,152.336,152.347,82.72
02.01.2018 02:39:00.000 UTC,152.345,152.347,152.333,152.335,101.62
02.01.2018 02:40:00.000 UTC,152.335,152.344,152.335,152.336,41.99
02.01.2018 02:41:00.000 UTC,152.336,152.34,152.333,152.337,66.54
02.01.2018 02:42:00.000 UTC,152.337,152.346,152.336,152.336,96.79
02.01.2018 02:43:00.000 UTC,152.338,152.346,152.336,152.346,72.93
02.01.2018 02:44:00.000 UTC,152.346,152.353,152.331,152.331,48.31
02.01.2018 02:45:00.000 UTC,152.33,152.34,152.329,152.336,39.2
02.01.2018 02:46:00.000 UTC,152.337,152.338,152.324,152.325,16.39
02.01.2018 02:47:00.000 UTC,152.324,152.327,152.322,152.327,26.06
02.01.2018 02:48:00.000 UTC,152.327,152.327,152.325,152.327,32.38
02.01.2018 02:49:00.000 UTC,152.327,152.342,152.327,152.335,88.57
02.01.2018 02:50:00.000 UTC,152.334,152.334,152.31,152.324,125.97
02.01.2018 02:51:00.000 UTC,152.325,152.329,152.294,152.294,58.86
