UTC,Open,High,Low,Close,Volume
01.02.2017 00:00:00.000 UTC,1.25881,1.25883,1.25856,1.25863,149.4
01.02.2017 00:01:00.000 UTC,1.25862,1.25864,1.2584,1.2585,109.46
01.02.2017 00:02:00.000 UTC,1.2585,1.25871,1.25842,1.25871,148.76
01.02.2017 00:03:00.000 UTC,1.2587,1.25886,1.25856,1.25882,156.42
01.02.2017 00:04:00.000 UTC,1.25882,1.25882,1.25862,1.25864,72.66
01.02.2017 00:05:00.000 UTC,1.25864,1.25887,1.25857,1.25859,86.23
01.02.2017 00:06:00.000 UTC,1.25857,1.2586,1.25838,1.25841,48.66
01.02.2017 00:07:00.000 UTC,1.25842,1.25851,1.25835,1.2584,88.95
01.02.2017 00:08:00.000 UTC,1.25841,1.2586,1.25841,1.2585,100.44
01.02.2017 00:09:00.000 UTC,1.25849,1.25849,1.25822,1.25844,70.26
01.02.2017 00:10:00.000 UTC,1.25842,1.25857,1.2583,1.25855,91.64
01.02.2017 00:11:00.000 UTC,1.25856,1.25861,1.25841,1.25843,119.23
01.02.2017 00:12:00.000 UTC,1.25842,1.2587,1.2584,1.25859,135.59
01.02.2017 00:13:00.000 UTC,1.2586,1.25863,1.25852,1.25858,70.17
01.02.2017 00:14:00.000 UTC,1.25859,1.25863,1.25852,1.25853,121.54
01.02.2017 00:15:00.000 UTC,1.25852,1.25855,1.25845,1.25847,50.85
01.02.2017 00:16:00.000 UTC,1.25843,1.25847,1.25824,1.2583,80.47
01.02.2017 00:17:00.000 UTC,1.2583,1.25849,1.2583,1.25841,85.94
01.02.2017 00:18:00.000 UTC,1.25842,1.25852,1.25841,1.25846,102.61
01.02.2017 00:19:00.000 UTC,1.25849,1.25852,1.25815,1.25816,83.22
01.02.2017 00:20:00.000 UTC,1.25816,1.25829,1.25792,1.258,108.61
01.02.2017 00:21:00.000 UTC,1.258,1.25803,1.25786,1.25786,70.34
01.02.2017 00:22:00.000 UTC,1.25786,1.2579,1.25769,1.25773,67.91
01.02.2017 00:23:00.000 UTC,1.25772,1.25783,1.25766,1.25767,76.17
01.02.2017 00:24:00.000 UTC,1.25768,1.25775,1.25756,1.25756,150.68
01.02.2017 00:25:00.000 UTC,1.25756,1.25763,1.25745,1.25747,97.96
01.02.2017 00:26:00.000 UTC,1.25747,1.25765,1.25745,1.25761,158.14
01.02.2017 00:27:00.000 UTC,1.25761,1.25762,1.25759,1.25759,30.99
01.02.2017 00:28:00.000 UTC,1.25759,1.25762,1.25757,1.25762,47.58
01.02.2017 00:29:00.000 UTC,1.25762,1.25771,1.25762,1.2577,41.3
