UTC,Open,High,Low,Close,Volume
02.01.2020 00:00:00.000 UTC,0.87426,0.87433,0.87413,0.87415,65.5
02.01.2020 00:01:00.000 UTC,0.87415,0.87429,0.87408,0.87423,88.2
02.01.2020 00:02:00.000 UTC,0.87423,0.87423,0.8741,0.87411,51.5
02.01.2020 00:03:00.000 UTC,0.87412,0.87421,0.87404,0.8742,72.5
02.01.2020 00:04:00.000 UTC,0.87418,0.87436,0.87418,0.87432,37.5
02.01.2020 00:05:00.000 UTC,0.87432,0.87433,0.87412,0.87415,88.5
02.01.2020 00:06:00.000 UTC,0.87415,0.87443,0.87415,0.87437,88.14
02.01.2020 00:07:00.000 UTC,0.87436,0.87461,0.87432,0.87441,98.44
02.01.2020 00:08:00.000 UTC,0.87441,0.87441,0.87422,0.87422,34.5
02.01.2020 00:09:00.000 UTC,0.87424,0.87428,0.87411,0.87426,56.38
02.01.2020 00:10:00.000 UTC,0.87425,0.87428,0.87415,0.87426,82.7
02.01.2020 00:11:00.000 UTC,0.87427,0.87428,0.8742,0.87428,46.69
02.01.2020 00:12:00.000 UTC,0.87429,0.87429,0.87414,0.87419,83.94
02.01.2020 00:13:00.000 UTC,0.87417,0.87422,0.87416,0.87421,49.5
02.01.2020 00:14:00.000 UTC,0.87421,0.87424,0.87418,0.87421,40.5
02.01.2020 00:15:00.000 UTC,0.87421,0.87438,0.87419,0.87432,66.65
02.01.2020 00:16:00.000 UTC,0.87434,0.87438,0.87434,0.87436,31.75
02.01.2020 00:17:00.000 UTC,0.87435,0.87436,0.8743,0.87432,37.44
02.01.2020 00:18:00.000 UTC,0.87433,0.87434,0.87432,0.87432,51.25
02.01.2020 00:19:00.000 UTC,0.87433,0.87434,0.87417,0.87422,35.94
02.01.2020 00:20:00.000 UTC,0.87422,0.87431,0.87422,0.87426,17
02.01.2020 00:21:00.000 UTC,0.87428,0.87429,0.87426,0.87429,16.8
02.01.2020 00:22:00.000 UTC,0.87427,0.87427,0.87409,0.87418,57.55
02.01.2020 00:23:00.000 UTC,0.87419,0.8742,0.87415,0.87418,75.05
02.01.2020 00:24:00.000 UTC,0.87418,0.87421,0.87404,0.87405,30.75
02.01.2020 00:25:00.000 UTC,0.87406,0.87408,0.87405,0.87406,2
02.01.2020 00:26:00.000 UTC,0.87405,0.87405,0.874,0.87401,37.45
02.01.2020 00:27:00.000 UTC,0.87401,0.87401,0.87391,0.87393,33.39
02.01.2020 00:28:00.000 UTC,0.87393,0.87406,0.87393,0.87399,56.7
02.01.2020 00:29:00.000 UTC,0.87401,0.87408,0.87392,0.87392,37.5
02.01.2020 00:30:00.000 UTC,0.87396,0.87406,0.87391,0.87404,89.78
02.01.2020 00:31:00.000 UTC,0.87404,0.87406,0.87401,0.87404,62.47
