UTC,Open,High,Low,Close,Volume
07.02.2018 07:05:00.000 UTC,2675.53,2677.531,2675.33,2677.531,0.05152
07.02.2018 07:06:00.000 UTC,2677.33,2678.83,2677.03,2678.03,0.10304
07.02.2018 07:07:00.000 UTC,2678.33,2679.831,2678.03,2679.831,0.0644
07.02.2018 07:08:00.000 UTC,2680.03,2680.03,2677.531,2678.03,0.10948
07.02.2018 07:09:00.000 UTC,2677.831,2679.831,2677.531,2678.53,0.03542
07.02.2018 07:10:00.000 UTC,2678.33,2679.331,2678.33,2678.531,0.09338
07.02.2018 07:11:00.000 UTC,2678.831,2680.531,2678.531,2680.03,0.09177
07.02.2018 07:12:00.000 UTC,2679.43,2680.53,2678.831,2680.331,0.05152
07.02.2018 07:13:00.000 UTC,2680.031,2680.031,2678.53,2679.531,0.04347
07.02.2018 07:14:00.000 UTC,2679.33,2680.03,2679.03,2679.53,0.02737
07.02.2018 07:15:00.000 UTC,2679.831,2682.031,2679.831,2681.53,0.05313
07.02.2018 07:16:00.000 UTC,2681.031,2682.531,2680.831,2680.831,0.07245
07.02.2018 07:17:00.000 UTC,2680.93,2680.93,2678.83,2678.83,0.07889
07.02.2018 07:18:00.000 UTC,2678.53,2679.331,2677.331,2677.431,0.09016
07.02.2018 07:19:00.000 UTC,2677.53,2677.531,2675.331,2676.031,0.11914
07.02.2018 07:20:00.000 UTC,2675.93,2678.53,2675.03,2675.03,0.09821
07.02.2018 07:21:00.000 UTC,2675.331,2676.831,2673.93,2676.03,0.09177
07.02.2018 07:22:00.000 UTC,2676.13,2679.13,2676.03,2677.53,0.08372
07.02.2018 07:23:00.000 UTC,2677.831,2680.331,2677.831,2680.331,0.06279
07.02.2018 07:24:00.000 UTC,2680.131,2680.131,2678.331,2678.631,0.0644
07.02.2018 07:25:00.000 UTC,2678.831,2679.03,2677.83,2678.43,0.02254
07.02.2018 07:26:00.000 UTC,2678.53,2679.33,2678.33,2679.33,0.03542
07.02.2018 07:27:00.000 UTC,2679.531,2680.53,2678.931,2680.031,0.03703
07.02.2018 07:28:00.000 UTC,2680.331,2680.53,2678.331,2678.331,0.04669
07.02.2018 07:29:00.000 UTC,2678.531,2679.33,2678.031,2678.33,0.06762
07.02.2018 07:30:00.000 UTC,2678.13,2678.13,2676.431,2677.33,0.06762
07.02.2018 07:31:00.000 UTC,2677.131,2677.831,2677.03,2677.531,0.04025
07.02.2018 07:32:00.000 UTC,2677.43,2678.331,2677.331,2677.531,0.04669
07.02.2018 07:33:00.000 UTC,2677.83,2677.83,2673.631,2674.33,0.07889
07.02.2018 07:34:00.000 UTC,2674.131,2674.131,2670.531,2672.531,0.13202
07.02.2018 07:35:00.000 UTC,2672.931,2673.63,2671.53,2672.93,0.09016
07.02.2018 07:36:00.000 UTC,2672.831,2674.13,2671.831,2671.831,0.10948
07.02.2018 07:37:00.000 UTC,2671.531,2672.931,2671.531,2672.131,0.05474
07.02.2018 07:38:00.000 UTC,2672.03,2673.031,2671.83,2673.031,0.0483
07.02.2018 07:39:00.000 UTC,2673.331,2673.63,2672.53,2672.631,0.07245
07.02.2018 07:40:00.000 UTC,2672.531,2673.031,2670.83,2672.83,0.06279
07.02.2018 07:41:00.000 UTC,2672.93,2673.83,2672.331,2673.531,0.05313
07.02.2018 07:42:00.000 UTC,2673.131,2678.33,2673.131,2677.631,0.11431
07.02.2018 07:43:00.000 UTC,2677.431,2677.53,2675.531,2676.33,0.05796
07.02.2018 07:44:00.000 UTC,2676.531,2677.031,2676.13,2676.53,0.05635
07.02.2018 07:45:00.000 UTC,2676.83,2677.031,2675.531,2675.931,0.04025
07.02.2018 07:46:00.000 UTC,2675.831,2677.53,2675.831,2676.83,0.07084
07.02.2018 07:47:00.000 UTC,2676.531,2677.531,2676.13,2677.331,0.05635
07.02.2018 07:48:00.000 UTC,2677.43,2677.53,2676.13,2676.831,0.04669
07.02.2018 07:49:00.000 UTC,2677.031,2677.53,2676.03,2676.33,0.05635
07.02.2018 07:50:00.000 UTC,2676.13,2676.531,2675.53,2675.53,0.03864
07.02.2018 07:51:00.000 UTC,2675.631,2675.831,2674.831,2674.931,0.04991
07.02.2018 07:52:00.000 UTC,2675.131,2676.131,2675.131,2675.83,0.03703
07.02.2018 07:53:00.000 UTC,2675.531,2675.831,2675.031,2675.33,0.03703
07.02.2018 07:54:00.000 UTC,2675.531,2676.531,2675.33,2676.531,0.04186
07.02.2018 07:55:00.000 UTC,2676.431,2676.431,2675.03,2675.03,0.02415
07.02.2018 07:56:00.000 UTC,2674.33,2675.131,2674.03,2674.63,0.04025
07.02.2018 07:57:00.000 UTC,2674.83,2675.031,2674.331,2674.331,0.02415
07.02.2018 07:58:00.000 UTC,2674.031,2674.031,2671.53,2671.83,0.05152
07.02.2018 07:59:00.000 UTC,2672.331,2673.831,2671.53,2673.431,0.04347
07.02.2018 08:00:00.000 UTC,2673.33,2673.83,2670.331,2670.83,0.15617
07.02.2018 08:01:00.000 UTC,2670.53,2671.03,2670.03,2670.031,0.07406
07.02.2018 08:02:00.000 UTC,2670.33,2670.531,2668.93,2670.03,0.10465
07.02.2018 08:03:00.000 UTC,2669.53,2673.03,2669.13,2672.53,0.12719
07.02.2018 08:04:00.000 UTC,2671.83,2673.031,2671.03,2672.031,0.09499
07.02.2018 08:05:00.000 UTC,2671.531,2671.93,2669.031,2671.03,0.1127
07.02.2018 08:06:00.000 UTC,2671.331,2671.531,2669.03,2671.13,0.09338
07.02.2018 08:07:00.000 UTC,2671.03,2672.33,2669.93,2670.531,0.09016
07.02.2018 08:08:00.000 UTC,2670.33,2670.33,2668.33,2668.531,0.13685
07.02.2018 08:09:00.000 UTC,2668.63,2670.531,2668.53,2668.931,0.09016
07.02.2018 08:10:00.000 UTC,2668.831,2669.531,2668.33,2668.831,0.07728
07.02.2018 08:11:00.000 UTC,2668.63,2670.33,2668.431,2668.831,0.08694
07.02.2018 08:12:00.000 UTC,2669.031,2669.331,2668.53,2668.531,0.07245
07.02.2018 08:13:00.000 UTC,2668.631,2669.031,2667.531,2667.531,0.08211
07.02.2018 08:14:00.000 UTC,2667.33,2669.03,2663.53,2663.63,0.12719
07.02.2018 08:15:00.000 UTC,2663.631,2666.331,2663.53,2666.031,0.14329
07.02.2018 08:16:00.000 UTC,2665.931,2668.03,2665.931,2667.331,0.10304
07.02.2018 08:17:00.000 UTC,2667.13,2667.33,2665.531,2665.631,0.07567
07.02.2018 08:18:00.000 UTC,2665.931,2667.031,2665.53,2666.33,0.07406
07.02.2018 08:19:00.000 UTC,2665.83,2666.031,2664.53,2665.431,0.09016
07.02.2018 08:20:00.000 UTC,2666.83,2667.13,2665.33,2665.531,0.11592
07.02.2018 08:21:00.000 UTC,2666.03,2668.331,2665.83,2667.63,0.11109
07.02.2018 08:22:00.000 UTC,2667.53,2667.931,2666.33,2667.531,0.06601
07.02.2018 08:23:00.000 UTC,2667.63,2668.431,2666.03,2668.03,0.08211
07.02.2018 08:24:00.000 UTC,2667.831,2670.03,2667.531,2669.83,0.09499
07.02.2018 08:25:00.000 UTC,2669.53,2669.531,2668.33,2668.831,0.07728
07.02.2018 08:26:00.000 UTC,2668.531,2670.83,2668.53,2670.83,0.08533
07.02.2018 08:27:00.000 UTC,2670.63,2670.831,2668.53,2669.03,0.0966
07.02.2018 08:28:00.000 UTC,2669.13,2671.331,2669.03,2671.331,0.0805
07.02.2018 08:29:00.000 UTC,2671.13,2672.831,2671.03,2672.331,0.08694
07.02.2018 08:30:00.000 UTC,2672.13,2673.031,2671.43,2671.531,0.09499
07.02.2018 08:31:00.000 UTC,2671.63,2673.831,2671.53,2673.33,0.035444
07.02.2018 08:32:00.000 UTC,2673.43,2675.531,2673.13,2675.531,0.08372
07.02.2018 08:33:00.000 UTC,2675.83,2677.03,2675.53,2677.03,0.06279
07.02.2018 08:34:00.000 UTC,2676.831,2677.03,2674.83,2674.83,0.09338
07.02.2018 08:35:00.000 UTC,2674.531,2674.531,2672.83,2673.831,0.10465
07.02.2018 08:36:00.000 UTC,2673.631,2674.531,2672.531,2672.531,0.0966
07.02.2018 08:37:00.000 UTC,2672.831,2674.531,2672.831,2674.531,0.04186
07.02.2018 08:38:00.000 UTC,2674.631,2674.631,2672.33,2672.93,0.07728
07.02.2018 08:39:00.000 UTC,2672.83,2673.831,2671.831,2673.03,0.08372
07.02.2018 08:40:00.000 UTC,2672.831,2673.031,2672.331,2672.531,0.04025
07.02.2018 08:41:00.000 UTC,2672.33,2674.03,2672.33,2673.331,0.03542
07.02.2018 08:42:00.000 UTC,2673.53,2673.531,2671.531,2672.33,0.05796
07.02.2018 08:43:00.000 UTC,2672.531,2672.531,2671.031,2671.031,0.05152
07.02.2018 08:44:00.000 UTC,2671.33,2672.53,2670.93,2672.53,0.05957
07.02.2018 08:45:00.000 UTC,2672.43,2673.63,2671.03,2671.83,0.07245
07.02.2018 08:46:00.000 UTC,2672.03,2673.031,2672.03,2672.131,0.05474
07.02.2018 08:47:00.000 UTC,2672.03,2672.031,2671.03,2671.33,0.03864
07.02.2018 08:48:00.000 UTC,2671.031,2671.33,2670.53,2671.03,0.05152
07.02.2018 08:49:00.000 UTC,2670.83,2672.831,2670.531,2672.33,0.04669
07.02.2018 08:50:00.000 UTC,2672.431,2674.831,2672.331,2674.831,0.05796
07.02.2018 08:51:00.000 UTC,2674.331,2675.83,2673.43,2675.83,0.06279
07.02.2018 08:52:00.000 UTC,2675.13,2675.13,2672.831,2672.831,0.0644
07.02.2018 08:53:00.000 UTC,2672.53,2674.03,2672.53,2673.531,0.04025
07.02.2018 08:54:00.000 UTC,2673.33,2674.53,2673.03,2673.631,0.04347
