UTC,Open,High,Low,Close,Volume
18.02.2021 00:00:00.000 UTC,105.854,105.861,105.847,105.858,84.71
18.02.2021 00:01:00.000 UTC,105.858,105.885,105.858,105.885,60.52
18.02.2021 00:02:00.000 UTC,105.884,105.907,105.874,105.907,88.49
18.02.2021 00:03:00.000 UTC,105.907,105.913,105.89,105.891,115.19
18.02.2021 00:04:00.000 UTC,105.894,105.897,105.882,105.888,59.71
18.02.2021 00:05:00.000 UTC,105.886,105.886,105.873,105.878,74.09
18.02.2021 00:06:00.000 UTC,105.878,105.883,105.878,105.879,13.49
18.02.2021 00:07:00.000 UTC,105.879,105.879,105.872,105.876,61.25
18.02.2021 00:08:00.000 UTC,105.879,105.896,105.879,105.888,80.94
18.02.2021 00:09:00.000 UTC,105.887,105.887,105.878,105.879,53.96
18.02.2021 00:10:00.000 UTC,105.879,105.884,105.873,105.884,47.31
18.02.2021 00:11:00.000 UTC,105.884,105.886,105.882,105.882,19.49
18.02.2021 00:12:00.000 UTC,105.883,105.883,105.861,105.861,47.51
18.02.2021 00:13:00.000 UTC,105.86,105.865,105.858,105.865,27.29
18.02.2021 00:14:00.000 UTC,105.865,105.873,105.865,105.866,55.7
18.02.2021 00:15:00.000 UTC,105.867,105.871,105.864,105.865,24.76
18.02.2021 00:16:00.000 UTC,105.864,105.864,105.842,105.842,59.41
18.02.2021 00:17:00.000 UTC,105.843,105.843,105.819,105.82,84.93
18.02.2021 00:18:00.000 UTC,105.819,105.82,105.816,105.816,51.91
18.02.2021 00:19:00.000 UTC,105.817,105.818,105.802,105.803,94.77
18.02.2021 00:20:00.000 UTC,105.804,105.807,105.77,105.782,154.91
18.02.2021 00:21:00.000 UTC,105.782,105.791,105.764,105.781,119.07
18.02.2021 00:22:00.000 UTC,105.78,105.792,105.78,105.792,55.09
18.02.2021 00:23:00.000 UTC,105.792,105.792,105.774,105.774,37.81
18.02.2021 00:24:00.000 UTC,105.775,105.785,105.772,105.783,67.72
18.02.2021 00:25:00.000 UTC,105.785,105.785,105.78,105.78,31.6
18.02.2021 00:26:00.000 UTC,105.78,105.804,105.779,105.803,57.03
18.02.2021 00:27:00.000 UTC,105.802,105.802,105.795,105.795,32.62
18.02.2021 00:28:00.000 UTC,105.796,105.797,105.779,105.779,64.4
18.02.2021 00:29:00.000 UTC,105.778,105.798,105.773,105.798,65.75
18.02.2021 00:30:00.000 UTC,105.799,105.801,105.789,105.792,48.95
18.02.2021 00:31:00.000 UTC,105.792,105.801,105.785,105.785,40.14
18.02.2021 00:32:00.000 UTC,105.784,105.787,105.784,105.786,36.77
18.02.2021 00:33:00.000 UTC,105.786,105.788,105.766,105.788,77.49
18.02.2021 00:34:00.000 UTC,105.789,105.802,105.789,105.79,82.41
18.02.2021 00:35:00.000 UTC,105.791,105.795,105.785,105.785,23.19
18.02.2021 00:36:00.000 UTC,105.784,105.784,105.782,105.782,14.75
18.02.2021 00:37:00.000 UTC,105.782,105.8,105.782,105.796,29.03
18.02.2021 00:38:00.000 UTC,105.797,105.797,105.796,105.796,5.45
18.02.2021 00:39:00.000 UTC,105.797,105.81,105.797,105.81,32.07
18.02.2021 00:40:00.000 UTC,105.811,105.816,105.795,105.798,75.09
18.02.2021 00:41:00.000 UTC,105.799,105.799,105.761,105.761,131.28
18.02.2021 00:42:00.000 UTC,105.76,105.764,105.748,105.748,162.18
18.02.2021 00:43:00.000 UTC,105.75,105.753,105.738,105.743,89.57
18.02.2021 00:44:00.000 UTC,105.742,105.746,105.741,105.745,42.08
18.02.2021 00:45:00.000 UTC,105.744,105.753,105.744,105.752,73.3
18.02.2021 00:46:00.000 UTC,105.752,105.762,105.748,105.757,58.83
18.02.2021 00:47:00.000 UTC,105.757,105.766,105.757,105.763,41.48
18.02.2021 00:48:00.000 UTC,105.762,105.762,105.741,105.742,63.83
