UTC,Open,High,Low,Close,Volume
07.03.2018 00:00:00.000 UTC,16.8,16.805,16.794,16.801,5.1685
07.03.2018 00:01:00.000 UTC,16.805,16.811,16.796,16.811,10.7097
07.03.2018 00:02:00.000 UTC,16.807,16.811,16.801,16.801,6.4736
07.03.2018 00:03:00.000 UTC,16.802,16.817,16.802,16.811,4.6124
07.03.2018 00:04:00.000 UTC,16.807,16.813,16.807,16.811,1.9874
07.03.2018 00:05:00.000 UTC,16.812,16.817,16.812,16.816,0.9362
07.03.2018 00:07:00.000 UTC,16.819,16.821,16.811,16.819,3.8873
07.03.2018 00:08:00.000 UTC,16.819,16.826,16.814,16.815,4.5425
07.03.2018 00:09:00.000 UTC,16.814,16.819,16.811,16.814,2.0925
07.03.2018 00:10:00.000 UTC,16.807,16.814,16.803,16.804,2.1424
07.03.2018 00:11:00.000 UTC,16.813,16.813,16.804,16.804,4.1675
07.03.2018 00:12:00.000 UTC,16.8,16.8,16.792,16.793,3.8425
07.03.2018 00:13:00.000 UTC,16.789,16.793,16.788,16.793,0.8925
07.03.2018 00:14:00.000 UTC,16.787,16.787,16.787,16.787,1.18
07.03.2018 00:15:00.000 UTC,16.789,16.792,16.781,16.782,1.2712
07.03.2018 00:16:00.000 UTC,16.781,16.788,16.778,16.787,5.4699
07.03.2018 00:17:00.000 UTC,16.781,16.787,16.781,16.787,0.84
07.03.2018 00:18:00.000 UTC,16.783,16.787,16.783,16.787,0.0824
07.03.2018 00:19:00.000 UTC,16.788,16.788,16.78,16.78,1.235
07.03.2018 00:20:00.000 UTC,16.778,16.778,16.778,16.778,0.69
07.03.2018 00:21:00.000 UTC,16.778,16.782,16.778,16.782,2.66
07.03.2018 00:22:00.000 UTC,16.778,16.791,16.778,16.791,3.5275
07.03.2018 00:23:00.000 UTC,16.783,16.783,16.783,16.783,0.2586
07.03.2018 00:24:00.000 UTC,16.783,16.784,16.778,16.778,2.6412
07.03.2018 00:25:00.000 UTC,16.78,16.784,16.776,16.776,3.74
07.03.2018 00:26:00.000 UTC,16.781,16.785,16.776,16.776,5.6175
07.03.2018 00:27:00.000 UTC,16.779,16.779,16.772,16.779,3.2199
07.03.2018 00:28:00.000 UTC,16.779,16.779,16.779,16.779,0.34
07.03.2018 00:29:00.000 UTC,16.779,16.783,16.778,16.778,3.2812
07.03.2018 00:30:00.000 UTC,16.778,16.778,16.778,16.778,0.38
07.03.2018 00:31:00.000 UTC,16.778,16.782,16.778,16.782,1.46
07.03.2018 00:32:00.000 UTC,16.786,16.792,16.782,16.792,1.0375
07.03.2018 00:33:00.000 UTC,16.782,16.783,16.772,16.772,3.5
07.03.2018 00:34:00.000 UTC,16.776,16.778,16.77,16.771,5.571
07.03.2018 00:35:00.000 UTC,16.768,16.776,16.768,16.776,3.5312
07.03.2018 00:36:00.000 UTC,16.773,16.778,16.769,16.773,5.4499
07.03.2018 00:37:00.000 UTC,16.774,16.781,16.769,16.778,4.3598
07.03.2018 00:38:00.000 UTC,16.774,16.778,16.774,16.778,0.3487
07.03.2018 00:39:00.000 UTC,16.778,16.778,16.778,16.778,0.93
07.03.2018 00:40:00.000 UTC,16.779,16.779,16.774,16.777,1.7274
07.03.2018 00:41:00.000 UTC,16.776,16.777,16.773,16.773,2.9612
07.03.2018 00:42:00.000 UTC,16.773,16.773,16.773,16.773,0.24
07.03.2018 00:43:00.000 UTC,16.772,16.773,16.771,16.771,0.7587
